billboard_id,billboard_name,city,latitude,longitude,size,daily_cost,traffic_score
BB001,Semarang Street B,Semarang,-7.0137,110.461,Large,1700000,61
BB002,Jakarta Center C,Jakarta,-6.2432,106.7451,Large,3540000,66
BB003,Semarang Avenue D,Semarang,-6.9114,110.3056,Large,1280000,46
BB004,Semarang Junction E,Semarang,-7.0676,110.4264,Medium,970000,52
BB005,Yogyakarta Junction F,Yogyakarta,-7.8698,110.3708,Medium,840000,42
BB006,Yogyakarta Center G,Yogyakarta,-7.8842,110.3398,Small,1010000,84
BB007,Makassar Junction H,Makassar,-5.1104,119.4874,Large,1770000,59
BB008,Medan Avenue I,Medan,3.5181,98.6396,Small,1110000,86
BB009,Yogyakarta Point J,Yogyakarta,-7.7058,110.3376,Medium,1480000,74
BB010,Medan Street K,Medan,3.5336,98.6715,Medium,1090000,51
BB011,Bandung Point L,Bandung,-6.8389,107.5093,Large,2330000,68
BB012,Bandung Junction M,Bandung,-6.8589,107.5809,Small,590000,43
BB013,Bandung Junction N,Bandung,-6.8238,107.5272,Large,1440000,42
BB014,Jakarta Junction O,Jakarta,-6.1425,106.8483,Large,3640000,68
BB015,Bandung Avenue P,Bandung,-6.821,107.6963,Medium,1940000,85
BB016,Yogyakarta Point Q,Yogyakarta,-7.7099,110.465,Medium,980000,49
BB017,Bandung Center R,Bandung,-6.8236,107.5285,Small,700000,51
BB018,Surabaya Junction S,Surabaya,-7.2429,112.7839,Medium,2030000,79
BB019,Semarang Center T,Semarang,-7.0179,110.3592,Small,770000,69
BB020,Makassar Point U,Makassar,-5.1919,119.4052,Small,1180000,98
BB021,Medan Street V,Medan,3.6828,98.6563,Small,1050000,82
BB022,Jakarta Avenue W,Jakarta,-6.2796,106.7674,Medium,1570000,44
BB023,Medan Point X,Medan,3.5431,98.6091,Medium,1760000,82
BB024,Bandung Center Y,Bandung,-6.893,107.625,Small,550000,40
BB025,Medan Point Z,Medan,3.6701,98.6634,Small,580000,45
BB026,Makassar Junction A,Makassar,-5.181,119.44,Medium,1860000,93
BB027,Yogyakarta Junction B,Yogyakarta,-7.8956,110.4572,Large,1680000,56
BB028,Medan Point C,Medan,3.6933,98.6488,Large,2020000,63
BB029,Bandung Avenue D,Bandung,-6.8806,107.5555,Large,1540000,45
BB030,Yogyakarta Junction E,Yogyakarta,-7.7005,110.3992,Large,1590000,53
BB031,Medan Point F,Medan,3.509,98.6531,Small,800000,62
BB032,Yogyakarta Point G,Yogyakarta,-7.8391,110.4962,Large,2430000,81
BB033,Makassar Avenue H,Makassar,-5.1196,119.4464,Small,900000,75
BB034,Medan Junction I,Medan,3.6662,98.6773,Small,820000,64
BB035,Jakarta Junction J,Jakarta,-6.1885,106.8118,Medium,1890000,53
BB036,Semarang Avenue K,Semarang,-6.9179,110.4087,Small,520000,47
BB037,Jakarta Avenue L,Jakarta,-6.1386,106.7018,Medium,2960000,83
BB038,Medan Center M,Medan,3.5238,98.6323,Small,630000,49
BB039,Bandung Junction N,Bandung,-6.83,107.6726,Medium,2260000,99
BB040,Bandung Avenue O,Bandung,-6.8189,107.6596,Small,1340000,98
BB041,Bandung Street P,Bandung,-6.8425,107.5155,Small,780000,57
BB042,Jakarta Junction Q,Jakarta,-6.2999,106.8409,Large,2200000,41
BB043,Medan Center R,Medan,3.5974,98.6592,Small,660000,51
BB044,Semarang Point S,Semarang,-7.0903,110.3641,Large,2140000,77
BB045,Bandung Street T,Bandung,-6.8179,107.6356,Small,1180000,86
BB046,Jakarta Avenue U,Jakarta,-6.1363,106.7688,Small,1410000,66
BB047,Semarang Center V,Semarang,-6.9988,110.3239,Medium,1470000,79
BB048,Semarang Junction W,Semarang,-6.9349,110.3,Large,1560000,56
BB049,Surabaya Point X,Surabaya,-7.2223,112.7079,Small,930000,60
BB050,Yogyakarta Point Y,Yogyakarta,-7.8134,110.3158,Small,910000,76
BB051,Yogyakarta Street Z,Yogyakarta,-7.8528,110.3466,Large,1380000,46
BB052,Semarang Point A,Semarang,-6.9691,110.3381,Medium,1840000,99
BB053,Surabaya Avenue B,Surabaya,-7.2198,112.72,Small,990000,64
BB054,Surabaya Avenue C,Surabaya,-7.2106,112.786,Medium,2520000,98
BB055,Jakarta Point D,Jakarta,-6.2488,106.8453,Large,4980000,93
BB056,Makassar Avenue E,Makassar,-5.137,119.425,Medium,1460000,73
BB057,Yogyakarta Street F,Yogyakarta,-7.8985,110.4115,Large,2190000,73
BB058,Medan Street G,Medan,3.6157,98.6419,Small,750000,58
BB059,Surabaya Junction H,Surabaya,-7.247,112.7217,Small,1430000,93
BB060,Semarang Avenue I,Semarang,-7.0931,110.4915,Medium,1750000,94
BB061,Jakarta Avenue J,Jakarta,-6.1477,106.8797,Small,1220000,57
BB062,Semarang Street K,Semarang,-7.0934,110.4718,Large,2480000,89
BB063,Bandung Point L,Bandung,-6.814,107.6897,Medium,1330000,58
BB064,Medan Point M,Medan,3.5305,98.657,Large,2860000,89
BB065,Medan Avenue N,Medan,3.5598,98.6299,Small,1050000,82
BB066,Surabaya Junction O,Surabaya,-7.2089,112.7048,Medium,1440000,56
BB067,Surabaya Junction P,Surabaya,-7.2781,112.7469,Large,2310000,60
BB068,Medan Center Q,Medan,3.689,98.6978,Small,1090000,85
BB069,Yogyakarta Street R,Yogyakarta,-7.8455,110.3973,Small,830000,69
BB070,Semarang Center S,Semarang,-7.0139,110.3893,Large,2560000,92
BB071,Makassar Junction T,Makassar,-5.1386,119.4812,Large,2910000,97
BB072,Bandung Junction U,Bandung,-6.8654,107.566,Large,2370000,69
BB073,Yogyakarta Point V,Yogyakarta,-7.8391,110.4584,Large,2730000,91
BB074,Semarang Junction W,Semarang,-6.9484,110.3845,Small,890000,80
BB075,Semarang Point X,Semarang,-7.0522,110.4624,Medium,950000,51
BB076,Semarang Junction Y,Semarang,-6.9852,110.4786,Medium,1780000,96
BB077,Medan Street Z,Medan,3.5207,98.6731,Small,580000,45
BB078,Bandung Point A,Bandung,-6.8591,107.6401,Large,2330000,68
BB079,Yogyakarta Street B,Yogyakarta,-7.8653,110.4617,Small,1090000,91
BB080,Jakarta Junction C,Jakarta,-6.1017,106.8958,Small,1740000,81
BB081,Jakarta Point D,Jakarta,-6.2784,106.8336,Small,1160000,54
BB082,Bandung Avenue E,Bandung,-6.8478,107.5451,Medium,1510000,66
BB083,Jakarta Point F,Jakarta,-6.2543,106.8846,Large,3110000,58
BB084,Bandung Street G,Bandung,-6.8714,107.5959,Large,2880000,84
BB085,Semarang Point H,Semarang,-6.9749,110.3024,Large,2400000,86
BB086,Surabaya Avenue I,Surabaya,-7.2914,112.7234,Large,3360000,87
BB087,Bandung Center J,Bandung,-6.8298,107.5344,Small,860000,63
BB088,Bandung Point K,Bandung,-6.8725,107.5248,Large,3360000,98
BB089,Surabaya Street L,Surabaya,-7.2809,112.7728,Small,740000,48
BB090,Makassar Point M,Makassar,-5.1764,119.4281,Large,1980000,66
BB091,Medan Street N,Medan,3.63,98.6284,Large,1380000,43
BB092,Jakarta Center O,Jakarta,-6.2745,106.7956,Small,1670000,78
BB093,Jakarta Center P,Jakarta,-6.1561,106.7778,Medium,2960000,83
BB094,Makassar Avenue Q,Makassar,-5.1619,119.4966,Medium,1340000,67
BB095,Makassar Street R,Makassar,-5.1455,119.4585,Large,2520000,84
BB096,Surabaya Avenue S,Surabaya,-7.2102,112.7478,Large,2160000,56
BB097,Bandung Street T,Bandung,-6.8305,107.6941,Large,2130000,62
BB098,Jakarta Point U,Jakarta,-6.1713,106.8159,Medium,3460000,97
BB099,Jakarta Junction V,Jakarta,-6.2045,106.8754,Small,1050000,49
BB100,Yogyakarta Avenue W,Yogyakarta,-7.8991,110.4007,Large,1230000,41
