log_id,campaign_id,billboard_id,device_id,exposure_time
CL0847,CMP005,BB007,D028,2026-01-01 00:55:17
CL0561,CMP003,BB008,D062,2026-01-01 04:13:05
CL0985,CMP003,BB026,D046,2026-01-01 04:38:28
CL0074,CMP005,BB046,D044,2026-01-01 04:45:17
CL0386,CMP002,BB002,D008,2026-01-01 07:15:07
CL0070,CMP002,BB064,D035,2026-01-01 09:19:50
CL0165,CMP003,BB033,D048,2026-01-01 10:41:26
CL0207,CMP004,BB035,D073,2026-01-01 13:48:41
CL0304,CMP003,BB034,D022,2026-01-01 15:53:25
CL0578,CMP001,BB033,D086,2026-01-01 17:34:26
CL0543,CMP002,BB071,D081,2026-01-01 17:51:53
CL0100,CMP004,BB059,D089,2026-01-01 18:52:22
CL0107,CMP002,BB049,D080,2026-01-01 19:00:30
CL0323,CMP004,BB010,D024,2026-01-02 00:02:27
CL0438,CMP004,BB086,D019,2026-01-02 00:27:29
CL0283,CMP004,BB007,D079,2026-01-02 02:04:49
CL0300,CMP001,BB014,D043,2026-01-02 03:18:54
CL0364,CMP005,BB033,D081,2026-01-02 04:56:52
CL0518,CMP003,BB020,D010,2026-01-02 05:17:35
CL0751,CMP003,BB013,D026,2026-01-02 07:16:42
CL0455,CMP002,BB026,D007,2026-01-02 07:47:01
CL0762,CMP003,BB025,D025,2026-01-02 08:05:43
CL0436,CMP001,BB020,D007,2026-01-02 10:01:47
CL0006,CMP002,BB071,D033,2026-01-02 10:20:42
CL0286,CMP004,BB018,D065,2026-01-02 11:26:33
CL0519,CMP002,BB053,D019,2026-01-02 12:36:43
CL0600,CMP002,BB067,D019,2026-01-02 15:06:21
CL0770,CMP005,BB089,D070,2026-01-02 19:34:16
CL0200,CMP005,BB066,D059,2026-01-02 22:39:13
CL0236,CMP002,BB090,D017,2026-01-03 00:39:58
CL0635,CMP001,BB045,D066,2026-01-03 02:53:08
CL0929,CMP003,BB090,D032,2026-01-03 11:13:35
CL0049,CMP002,BB007,D040,2026-01-03 11:27:18
CL0250,CMP004,BB010,D085,2026-01-03 17:52:45
CL0530,CMP002,BB090,D079,2026-01-03 20:23:12
CL0354,CMP005,BB023,D009,2026-01-04 06:27:04
CL0447,CMP001,BB002,D073,2026-01-04 08:53:29
CL0460,CMP001,BB021,D025,2026-01-04 12:19:16
CL0036,CMP003,BB043,D025,2026-01-04 15:52:13
CL0631,CMP001,BB038,D030,2026-01-04 16:30:22
CL0248,CMP002,BB081,D078,2026-01-04 18:48:51
CL0297,CMP003,BB089,D065,2026-01-04 20:34:05
CL0104,CMP004,BB058,D031,2026-01-04 23:36:47
CL0378,CMP005,BB090,D054,2026-01-05 00:38:54
CL0721,CMP001,BB071,D040,2026-01-05 02:38:50
CL0407,CMP003,BB090,D032,2026-01-05 04:03:54
CL0867,CMP001,BB034,D022,2026-01-05 05:02:23
CL0994,CMP001,BB071,D094,2026-01-05 05:13:44
CL0709,CMP001,BB056,D072,2026-01-05 06:09:45
CL0048,CMP003,BB056,D088,2026-01-05 06:25:11
CL0441,CMP004,BB064,D035,2026-01-05 07:56:27
CL0108,CMP003,BB012,D026,2026-01-05 08:12:36
CL0385,CMP005,BB090,D094,2026-01-05 08:46:11
CL0558,CMP005,BB056,D032,2026-01-05 12:26:31
CL0574,CMP005,BB049,D089,2026-01-05 14:04:29
CL0009,CMP005,BB086,D001,2026-01-05 16:19:23
CL0545,CMP005,BB049,D001,2026-01-05 19:29:41
CL0026,CMP001,BB042,D013,2026-01-05 20:49:44
CL0969,CMP004,BB021,D021,2026-01-05 23:27:58
CL0008,CMP003,BB071,D086,2026-01-06 00:40:05
CL0307,CMP001,BB059,D006,2026-01-06 01:24:35
CL0879,CMP005,BB040,D047,2026-01-06 02:15:44
CL0819,CMP005,BB039,D026,2026-01-06 02:39:51
CL0951,CMP004,BB026,D028,2026-01-06 02:52:28
CL0302,CMP003,BB007,D081,2026-01-06 03:14:43
CL0765,CMP004,BB063,D068,2026-01-06 03:15:46
CL0590,CMP003,BB022,D077,2026-01-06 03:33:17
