event_id,device_id,timestamp,latitude,longitude,city
EV02861,D028,2026-01-01 00:55:17,-5.15299,119.44527,Makassar
EV00004,D039,2026-01-01 01:18:42,-5.13982,119.43645,Makassar
EV03422,D050,2026-01-01 02:16:00,-5.14579,119.47105,Makassar
EV01079,D079,2026-01-01 02:56:54,-5.16664,119.42312,Makassar
EV03773,D047,2026-01-01 03:05:00,-6.86309,107.52392,Bandung
EV03698,D063,2026-01-01 03:19:54,-6.8838,107.67231,Bandung
EV01260,D062,2026-01-01 04:13:05,3.55753,98.6975,Medan
EV01544,D046,2026-01-01 04:38:28,-5.16282,119.4803,Makassar
EV01756,D044,2026-01-01 04:45:17,-6.2756,106.83333,Jakarta
EV02548,D032,2026-01-01 05:48:38,-5.11454,119.44541,Makassar
EV03874,D063,2026-01-01 06:01:02,-6.84648,107.58154,Bandung
EV02850,D047,2026-01-01 07:02:27,-6.81659,107.54936,Bandung
EV00389,D008,2026-01-01 07:15:07,-6.11776,106.71952,Jakarta
EV01531,D062,2026-01-01 09:17:31,3.58024,98.65916,Medan
EV01655,D035,2026-01-01 09:19:50,3.57851,98.62984,Medan
EV00898,D019,2026-01-01 09:36:20,-7.28396,112.70953,Surabaya
EV01527,D063,2026-01-01 10:00:19,-6.85656,107.64367,Bandung
EV01796,D048,2026-01-01 10:41:26,-5.10934,119.4594,Makassar
EV01265,D065,2026-01-01 10:46:28,-7.26495,112.78567,Surabaya
EV02846,D048,2026-01-01 13:10:44,-5.1246,119.47168,Makassar
EV00109,D056,2026-01-01 13:23:21,-7.20047,112.71183,Surabaya
EV03602,D029,2026-01-01 13:24:03,-6.87866,107.60988,Bandung
EV00342,D020,2026-01-01 13:45:53,-5.19001,119.45749,Makassar
EV02991,D073,2026-01-01 13:48:41,-6.20477,106.84169,Jakarta
EV03423,D009,2026-01-01 13:55:58,3.65037,98.64243,Medan
EV02264,D066,2026-01-01 14:13:42,-6.81028,107.54685,Bandung
EV02245,D022,2026-01-01 15:53:25,3.55788,98.64704,Medan
EV03037,D013,2026-01-01 16:26:17,-6.16954,106.87894,Jakarta
EV00503,D018,2026-01-01 16:38:28,-6.13323,106.70673,Jakarta
EV00884,D086,2026-01-01 17:34:26,-5.16465,119.47913,Makassar
EV01637,D081,2026-01-01 17:51:53,-5.16538,119.46024,Makassar
EV01697,D017,2026-01-01 18:08:44,-5.16764,119.48524,Makassar
EV00737,D089,2026-01-01 18:52:22,-7.28137,112.74961,Surabaya
EV03308,D080,2026-01-01 19:00:30,-7.25339,112.7694,Surabaya
EV00157,D045,2026-01-01 19:03:37,-7.24805,112.73822,Surabaya
EV00962,D041,2026-01-01 21:17:59,-7.22861,112.75078,Surabaya
EV00464,D019,2026-01-01 21:18:29,-7.29219,112.7051,Surabaya
EV02648,D028,2026-01-01 21:28:33,-5.19841,119.44341,Makassar
EV00958,D092,2026-01-01 22:12:15,-6.81045,107.56832,Bandung
EV03362,D036,2026-01-01 22:47:08,-6.1107,106.7056,Jakarta
EV03413,D061,2026-01-01 23:00:53,-6.83681,107.66044,Bandung
EV03100,D084,2026-01-01 23:05:50,-7.23149,112.70781,Surabaya
EV02192,D088,2026-01-01 23:17:32,-5.14817,119.44457,Makassar
EV01001,D053,2026-01-01 23:28:08,3.51739,98.69969,Medan
EV01895,D024,2026-01-02 00:02:27,3.62013,98.6814,Medan
EV02584,D019,2026-01-02 00:27:29,-7.20376,112.74936,Surabaya
EV03611,D046,2026-01-02 01:04:16,-5.13054,119.46756,Makassar
EV01330,D051,2026-01-02 01:11:19,-6.14348,106.73294,Jakarta
EV00025,D048,2026-01-02 01:15:54,-5.17315,119.4452,Makassar
EV01036,D075,2026-01-02 01:45:13,-7.23808,112.78316,Surabaya
EV01991,D006,2026-01-02 01:52:40,-7.22697,112.77067,Surabaya
EV02762,D079,2026-01-02 02:04:49,-5.12487,119.49829,Makassar
EV00712,D043,2026-01-02 03:18:54,-6.23644,106.82104,Jakarta
EV00285,D069,2026-01-02 03:38:00,-7.26633,112.75523,Surabaya
EV00339,D030,2026-01-02 04:06:55,3.58825,98.66821,Medan
EV02979,D033,2026-01-02 04:11:04,-5.17681,119.42048,Makassar
EV01806,D081,2026-01-02 04:56:52,-5.16364,119.48632,Makassar
EV01658,D043,2026-01-02 04:58:07,-6.21363,106.7628,Jakarta
EV00065,D010,2026-01-02 05:17:35,-5.15123,119.44628,Makassar
EV02046,D039,2026-01-02 06:01:19,-5.16576,119.48621,Makassar
EV03794,D033,2026-01-02 06:19:12,-5.1313,119.46573,Makassar
EV02511,D026,2026-01-02 07:16:42,-6.80467,107.68811,Bandung
EV02784,D027,2026-01-02 07:26:39,-6.8401,107.69838,Bandung
EV03716,D007,2026-01-02 07:47:01,-5.13561,119.49086,Makassar
EV02698,D052,2026-01-02 07:48:43,-7.23316,112.70621,Surabaya
EV03908,D008,2026-01-02 07:56:18,-6.13993,106.88482,Jakarta
